#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
A0A7U2MMF3           -          O07737               -            1.8e-52  168.7   0.0   2.2e-52  168.4   0.0   1.0   1   0   0   1   1   1   1 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
A1A835               -          O07737               -            3.1e-22   69.2   4.9   7.1e-13   38.5   3.2   2.1   2   0   0   2   2   2   2 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -          O07737               -            6.4e-22   68.2   5.1   7.1e-13   38.5   3.2   2.1   2   0   0   2   2   2   2 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -          O07737               -            5.1e-21   65.3   4.8   7.1e-13   38.5   3.2   2.1   2   0   0   2   2   2   2 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1L4Y2               -          O07737               -            9.5e-19   57.8   0.7   1.3e-10   31.1   0.0   2.1   2   0   0   2   2   2   2 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
O00097               -          O07737               -            2.2e-18   56.6   3.9   2.6e-18   56.4   3.9   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -          O07737               -            1.6e-17   53.7   1.7   1.9e-17   53.5   1.7   1.1   1   0   0   1   1   1   1 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
A2XAZ3               -          O07737               -            3.6e-16   49.3   6.9   6.9e-14   41.8   6.9   2.0   1   1   0   1   1   1   1 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
E1ACQ9               -          O07737               -              2e-14   43.5   2.4     2e-14   43.5   2.4   1.3   1   1   0   1   1   1   1 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
O00097               -          O13309               -           2.1e-198  648.7   6.5  2.3e-198  648.5   6.5   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -          O13309               -           1.4e-177  580.2   3.9  1.6e-177  580.0   3.9   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
