#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A7U2MMF3           -            428 O07737               -            384   1.8e-52  168.7   0.0   1   1     1e-52   2.2e-52  168.4   0.0     1   331    79   418    79   426 0.91 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
A1A835               -            369 O07737               -            384   3.1e-22   69.2   4.9   1   2   3.2e-13   7.1e-13   38.5   3.2    15   115    17   118     3   128 0.86 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1A835               -            369 O07737               -            384   3.1e-22   69.2   4.9   2   2   7.1e-11   1.6e-10   30.7   0.0   128   323   148   353   134   368 0.75 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -            369 O07737               -            384   6.4e-22   68.2   5.1   1   2   3.2e-13   7.1e-13   38.5   3.2    15   115    17   118     3   128 0.86 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -            369 O07737               -            384   6.4e-22   68.2   5.1   2   2   1.3e-10     3e-10   29.8   0.0   128   323   148   353   134   368 0.74 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O07737               -            384   5.1e-21   65.3   4.8   1   2   3.2e-13   7.1e-13   38.5   3.2    15   115    17   118     3   128 0.86 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O07737               -            384   5.1e-21   65.3   4.8   2   2   1.2e-09   2.8e-09   26.6   0.0   128   323   148   353   134   368 0.74 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1L4Y2               -            394 O07737               -            384   9.5e-19   57.8   0.7   1   2   3.3e-09   7.3e-09   25.3   0.2    28   103    38   115    25   123 0.87 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A1L4Y2               -            394 O07737               -            384   9.5e-19   57.8   0.7   2   2   5.7e-11   1.3e-10   31.1   0.0   132   270   171   317   164   390 0.71 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
O00097               -            348 O07737               -            384   2.2e-18   56.6   3.9   1   1   1.2e-18   2.6e-18   56.4   3.9     2   287     8   296     7   328 0.79 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -            351 O07737               -            384   1.6e-17   53.7   1.7   1   1   8.4e-18   1.9e-17   53.5   1.7    14   285    24   297    10   333 0.78 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
A2XAZ3               -            381 O07737               -            384   3.6e-16   49.3   6.9   1   1   3.1e-14   6.9e-14   41.8   6.9    23   262    34   299    20   314 0.79 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
E1ACQ9               -            339 O07737               -            384     2e-14   43.5   2.4   1   1   9.2e-15     2e-14   43.5   2.4    21   199    27   201     9   220 0.81 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
O00097               -            348 O13309               -            348  2.1e-198  648.7   6.5   1   1    1e-198  2.3e-198  648.5   6.5     1   348     1   348     1   348 1.00 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -            351 O13309               -            348  1.4e-177  580.2   3.9   1   1  7.4e-178  1.6e-177  580.0   3.9     3   348     6   351     4   351 1.00 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
E1ACQ9               -            339 O13309               -            348   4.4e-55  177.4   1.7   1   1   2.2e-55   4.9e-55  177.3   1.7     1   344     1   336     1   339 0.92 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
A1A835               -            369 O13309               -            348   1.9e-29   93.1   3.1   1   1   2.1e-27   4.7e-27   85.2   3.1     9   339     6   363     2   368 0.71 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -            369 O13309               -            348   5.1e-29   91.7   3.1   1   1   5.6e-27   1.3e-26   83.8   3.1     9   339     6   363     2   368 0.71 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O13309               -            348   3.5e-28   89.0   2.6   1   1   3.8e-26   8.5e-26   81.1   2.6     9   339     6   363     2   368 0.71 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A2XAZ3               -            381 O13309               -            348   4.2e-28   88.7   3.9   1   2   3.8e-18   8.5e-18   54.8   0.4     5   112    11   115     8   123 0.91 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A2XAZ3               -            381 O13309               -            348   4.2e-28   88.7   3.9   2   2   3.3e-12   7.4e-12   35.3   0.2   123   299   148   327   139   381 0.73 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A1L4Y2               -            394 O13309               -            348   1.2e-26   84.0   1.3   1   2     4e-19     9e-19   58.0   0.5     8   111    13   113     7   123 0.88 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A1L4Y2               -            394 O13309               -            348   1.2e-26   84.0   1.3   2   2   4.1e-09   9.1e-09   25.1   0.0   120   240   154   276   128   382 0.79 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A0A7U2MMF3           -            428 O13309               -            348   1.4e-25   80.4   0.1   1   1   7.9e-26   1.7e-25   80.1   0.1     4   337    76   418    73   424 0.79 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
A2XAZ3               -            381 O19053               -            374  6.5e-171  558.6   6.6   1   1  3.4e-171  7.5e-171  558.3   6.6     4   372     8   377     5   379 0.99 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A1A835               -            369 O19053               -            374  9.9e-166  541.5   3.3   1   1  4.9e-166  1.1e-165  541.3   3.3     7   373     2   368     1   369 0.99 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -            369 O19053               -            374  1.2e-165  541.2   3.1   1   1  6.2e-166  1.4e-165  541.0   3.1     7   373     2   368     1   369 0.99 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O19053               -            374  8.9e-165  538.4   2.7   1   1  4.5e-165  9.9e-165  538.2   2.7     7   373     2   368     1   369 0.99 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1L4Y2               -            394 O19053               -            374  4.2e-114  371.6   1.8   1   1  2.3e-114  5.1e-114  371.3   1.8     3   374     6   388     4   388 0.95 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
